PATH                                                     NAME              TYPE              W x H    
-------------------------------------------------------  ----------------  ----------------  ---------
EditorWorkspace                                          EditorWorkspace   EditorWorkspace   1920x1027
EditorWorkspace.StructuralEditor                         StructuralEditor  StructuralEditor  948x1027 
EditorWorkspace.StructuralEditor.BreadcrumbBar           BreadcrumbBar     BreadcrumbBar     900x39   
EditorWorkspace.StructuralEditor.BreadcrumbBar.button    button            button            90x22    
EditorWorkspace.StructuralEditor.BreadcrumbBar.button_2  button_2          button            83x22    
EditorWorkspace.StructuralEditor.HighlightEditor         HighlightEditor   HighlightEditor   674x34   
EditorWorkspace.StructuralEditor.HighlightEditor.text    text              text              674x34   
EditorWorkspace.StructuralEditor.select                  select            select            253x27   
EditorWorkspace.StructuralEditor.select_2                select_2          select            214x27   
EditorWorkspace.StructuralEditor.select_3                select_3          select            130x27   
EditorWorkspace.SusyYamlPanel                            SusyYamlPanel     SusyYamlPanel     948x867  
EditorWorkspace.input                                    input             text              900x38   
EditorWorkspace.input_2                                  input_2           text              900x38   
button_3                                                 button_3          button            81x36    
button_4                                                 button_4          button            79x36    
button_5                                                 button_5          button            71x36    
